Wall time,Step,Value
1653925296.9772027,607604,15.579999923706055
1653925302.8834522,609900,15.479999542236328
1653925308.2272053,611988,15.699999809265137
1653925314.0865765,614276,15.75
1653925316.6490767,615320,15.710000038146973
1653925332.8053362,621692,15.819999694824219
1653925344.4928315,626268,14.529999732971191
1653925348.0084589,627648,14.699999809265137
1653925355.9704146,630812,14.720000267028809
1653925372.1110277,637232,15.319999694824219
1653925373.7516596,637880,15.40999984741211
1653925379.7047775,640216,15.520000457763672
1653925384.1266549,641912,15.729999542236328
1653925385.8141527,642564,15.65999984741211
1653925400.2985287,648272,15.789999961853027
1653925418.474514,655408,16.219999313354492
1653925440.5213873,664192,16.719999313354492
1653925462.1044908,672812,17.0
1653925463.83887,673452,17.030000686645508
1653925466.3388674,674428,17.15999984741211
1653925469.245118,675580,17.219999313354492
1653925472.651375,676964,17.170000076293945
1653925492.9190004,685008,17.399999618530273
1653925505.6689992,690088,17.549999237060547
1653925506.8252473,690536,17.719999313354492
1653925522.8351765,696772,19.489999771118164
1653925557.4338636,710516,20.1200008392334
1653925560.126721,711584,20.170000076293945
1653925589.9873517,723284,20.34000015258789
1653925594.2060971,724956,20.170000076293945
1653925596.6279716,725904,20.360000610351562
1653925604.9407527,729204,20.6200008392334
1653925608.55013,730664,20.540000915527344
1653925611.4407501,731820,20.670000076293945
1653925622.3001256,736120,21.299999237060547
1653925631.6282527,739828,21.389999389648438
1653925646.9563785,745912,23.889999389648438
1653925655.781749,749416,23.969999313354492
1653925671.0630066,755448,23.440000534057617
1653925674.2348752,756736,23.540000915527344
1653925677.1567504,757888,23.420000076293945
1653925691.5161245,763580,23.350000381469727
1653925697.1254978,765760,24.649999618530273
1653925704.6568367,768748,24.670000076293945
1653925706.7818367,769564,24.790000915527344
1653925717.3287106,773748,25.149999618530273
1653925721.8755944,775548,25.350000381469727
1653925757.0596101,789548,25.440000534057617
1653925762.2471118,791608,26.540000915527344
1653925771.6064837,795364,26.65999984741211
1653925803.39329,807272,23.65999984741211
1653925814.7321613,811772,23.860000610351562
1653925828.0134118,816920,22.969999313354492
1653925838.7946641,821168,23.139999389648438
1653925848.4977858,824952,23.420000076293945
1653925852.857169,826636,22.3700008392334
1653925865.6852868,831612,22.100000381469727
1653925873.1227834,834528,21.790000915527344
1653925884.1249468,838540,21.959999084472656
1653925913.3905723,849996,22.010000228881836
1653925927.1948445,855368,20.260000228881836
1653925932.8354573,857576,19.959999084472656
1653925945.8619926,862480,19.959999084472656
1653925947.5925744,863156,19.8799991607666
1653925963.2865052,869008,20.520000457763672
1653925978.9216332,874968,21.010000228881836
1653925984.3112128,877096,21.06999969482422
1653925998.1080852,882428,20.469999313354492
1653925999.9830854,883164,20.469999313354492
1653926056.6234365,905420,21.65999984741211
1653926061.748436,907444,21.760000228881836
1653926062.185934,907612,21.760000228881836
1653926074.7685974,912628,22.979999542236328
1653926161.4560978,946988,20.90999984741211
1653926174.5810966,952188,20.8799991607666
1653926175.6748462,952612,21.270000457763672
1653926179.40083,954024,21.170000076293945
1653926182.8296895,955272,21.110000610351562
1653926185.8069031,956420,21.010000228881836
1653926186.4524567,956668,21.010000228881836
1653926223.8287263,971480,23.360000610351562
1653926232.10998,974772,23.780000686645508
1653926236.5474782,976492,23.950000762939453
1653926252.144196,982688,25.040000915527344
1653926265.914149,988152,24.989999771118164
1653926278.3829007,993196,25.579999923706055
1653926283.077886,995096,25.81999969482422
1653926284.3435152,995588,26.229999542236328
1653926309.0466344,1005488,27.6299991607666
1653926331.3903852,1014412,30.8799991607666
1653926338.687261,1017312,31.610000610351562
1653926344.937265,1019836,31.84000015258789
1653926357.812242,1025044,34.45000076293945
1653926360.5466166,1026108,34.56999969482422
1653926373.968492,1031484,33.900001525878906
1653926380.6247447,1034188,34.08000183105469
1653926390.1091194,1038012,34.310001373291016
1653926398.2966204,1041192,34.0
1653926434.471157,1055608,31.030000686645508
1653926449.2204027,1061512,31.649999618530273
1653926469.4704115,1069540,31.09000015258789
1653926481.1110258,1074108,32.95000076293945
1653926490.4235244,1077768,32.33000183105469
1653926497.25165,1080504,32.380001068115234
1653926499.3610299,1081368,32.34000015258789
1653926525.3454034,1091696,29.690000534057617
1653926530.8610246,1093920,32.279998779296875
1653926539.7360268,1097400,31.8799991607666
1653926585.4145453,1115212,30.139999389648438
1653926595.572159,1119320,30.530000686645508
1653926602.7735553,1122096,30.920000076293945
1653926608.8985548,1124588,31.15999984741211
1653926619.6485524,1128864,31.479999542236328
1653926622.7601295,1130100,31.34000015258789
1653926650.4763484,1141140,31.520000457763672
1653926651.49197,1141536,31.610000610351562
1653926683.1771703,1154240,31.079999923706055
1653926685.3021767,1155092,31.209999084472656
1653926690.0521722,1156980,31.190000534057617
1653926708.0521739,1164196,33.86000061035156
1653926717.1615474,1167832,34.66999816894531
1653926720.1459265,1169016,34.7400016784668
1653926722.442796,1169924,34.540000915527344
1653926763.790655,1186396,35.130001068115234
1653926768.2906547,1188200,35.0099983215332
1653926786.759412,1195540,38.11000061035156
1653926791.6344078,1197508,38.18000030517578
1653926795.665655,1199164,38.130001068115234
1653926798.6187868,1200280,38.310001373291016
1653926816.0875413,1207216,38.720001220703125
1653926844.27503,1218500,42.0
1653926883.414551,1233776,45.84000015258789
1653926901.3364298,1240852,46.560001373291016
1653926914.6176786,1246088,48.90999984741211
1653926922.1176772,1249056,46.369998931884766
1653926932.3364258,1253076,46.119998931884766
1653926933.9301772,1253696,46.119998931884766
1653926936.3364265,1254648,46.279998779296875
1653926954.3676748,1261808,47.150001525878906
1653926999.6655018,1279824,42.79999923706055
1653927009.492846,1283592,43.279998779296875
1653927039.7287343,1295396,43.40999984741211
1653927047.4162319,1298476,40.40999984741211
1653927059.6349852,1303324,40.810001373291016
1653927065.6506095,1305696,43.02000045776367
1653927067.1349876,1306280,43.02000045776367
1653927078.3693612,1310696,42.099998474121094
1653927082.447485,1312316,40.02000045776367
1653927083.416234,1312692,39.90999984741211
1653927087.4943619,1314256,39.97999954223633
1653927091.103735,1315680,39.81999969482422
1653927105.5256095,1321300,39.43000030517578
1653927112.463107,1323952,39.25
1653927120.806859,1327260,38.52000045776367
1653927125.2756073,1329012,36.7599983215332
1653927126.619357,1329548,36.959999084472656
1653927134.9162338,1332872,36.779998779296875
1653927146.3715174,1337568,37.439998626708984
1653927149.6605275,1338876,37.34000015258789
1653927155.0042827,1341012,37.36000061035156
1653927211.4837537,1363028,36.58000183105469
1653927228.719163,1369904,35.68000030517578
1653927263.1454391,1383728,37.68000030517578
1653927266.7235723,1385116,35.4900016784668
1653927296.8427532,1397160,38.880001068115234
